utr,amount,value_date,narration
UTR900001,12544.3,2026-07-14,Razorpay payout PAY-5003
UTR900002,14144.92,2026-07-24,Razorpay payout PAY-5005
UTR900003,14144.92,2026-07-24,Razorpay payout PAY-5006
UTR900004,22054.87,2026-07-26,Razorpay payout PAY-5007
UTR900005,9950.37,2026-08-07,Razorpay payout PAY-5011
UTR900006,17717.76,2026-08-11,Razorpay payout PAY-5012
UTR900007,3781.12,2026-07-04,Razorpay payout PAY-5013
UTR900008,3781.12,2026-07-04,Razorpay payout PAY-5014
UTR900009,20988.89,2026-07-20,Razorpay payout PAY-5015
UTR900010,7247.55,2026-07-22,Razorpay payout PAY-5016
UTR900011,15009.07,2026-07-26,Razorpay payout PAY-5017
UTR900012,22753.78,2026-07-28,Razorpay payout PAY-5018
UTR900013,8945.62,2026-08-01,Razorpay payout PAY-5019
UTR900014,16681.63,2026-08-03,Razorpay payout PAY-5020
UTR900015,24525.7,2026-08-07,Razorpay payout PAY-5021
UTR900016,10687.62,2026-08-09,Razorpay payout PAY-5022
UTR900017,18437.71,2026-07-04,Razorpay payout PAY-5023
UTR900018,4632.98,2026-07-06,Razorpay payout PAY-5024
UTR900019,12373.39,2026-07-10,Razorpay payout PAY-5025
UTR900020,20199.84,2026-07-12,Razorpay payout PAY-5026
UTR900021,6366.17,2026-07-16,Razorpay payout PAY-5027
UTR900022,14120.66,2026-07-18,Razorpay payout PAY-5028
UTR900023,21858.34,2026-07-22,Razorpay payout PAY-5029
UTR900024,8065.16,2026-07-24,Razorpay payout PAY-5030
UTR900025,15874.96,2026-07-28,Razorpay payout PAY-5031
UTR900026,23626.72,2026-07-30,Razorpay payout PAY-5032
UTR900027,9803.62,2026-08-03,Razorpay payout PAY-5033
UTR900028,17545.7,2026-08-05,Razorpay payout PAY-5034
UTR900029,3756.92,2026-08-09,Razorpay payout PAY-5035
UTR900030,11549.11,2026-07-02,Razorpay payout PAY-5036
UTR900031,19305.27,2026-07-06,Razorpay payout PAY-5037
UTR900032,5486.57,2026-07-08,Razorpay payout PAY-5038
UTR900033,13234.03,2026-07-12,Razorpay payout PAY-5039
UTR900034,20964.68,2026-07-14,Razorpay payout PAY-5040
UTR900035,7223.25,2026-07-18,Razorpay payout PAY-5041
UTR900036,14983.81,2026-07-20,Razorpay payout PAY-5042
UTR900037,22729.52,2026-07-24,Razorpay payout PAY-5043
UTR900038,8921.39,2026-07-26,Razorpay payout PAY-5044
UTR900039,16656.45,2026-07-30,Razorpay payout PAY-5045
UTR900040,24501.39,2026-08-01,Razorpay payout PAY-5046
UTR900041,10663.34,2026-08-05,Razorpay payout PAY-5047
UTR900042,18412.48,2026-08-07,Razorpay payout PAY-5048
UTR900043,4608.75,2026-08-11,Razorpay payout PAY-5049
UTR900044,12349.19,2026-07-04,Razorpay payout PAY-5050
UTR900045,20175.53,2026-07-08,Razorpay payout PAY-5051
UTR900046,6341.89,2026-07-10,Razorpay payout PAY-5052
UTR900047,14095.43,2026-07-14,Razorpay payout PAY-5053
UTR900048,21834.11,2026-07-16,Razorpay payout PAY-5054
UTR900049,8040.95,2026-07-20,Razorpay payout PAY-5055
UTR900050,15849.68,2026-07-22,Razorpay payout PAY-5056
UTR900051,23602.44,2026-07-26,Razorpay payout PAY-5057
UTR900052,9779.36,2026-07-28,Razorpay payout PAY-5058
UTR900053,17521.47,2026-08-01,Razorpay payout PAY-5059
UTR900054,3732.71,2026-08-03,Razorpay payout PAY-5060
UTR900055,11523.82,2026-08-07,Razorpay payout PAY-5061
UTR900056,19280.99,2026-08-09,Razorpay payout PAY-5062
UTR900057,5462.31,2026-07-04,Razorpay payout PAY-5063
UTR900058,13208.82,2026-07-06,Razorpay payout PAY-5064
UTR900059,20940.48,2026-07-10,Razorpay payout PAY-5065
UTR900060,7198.94,2026-07-12,Razorpay payout PAY-5066
UTR900061,14959.53,2026-07-16,Razorpay payout PAY-5067
UTR900062,22705.27,2026-07-18,Razorpay payout PAY-5068
UTR900063,8896.18,2026-07-22,Razorpay payout PAY-5069
UTR900064,16632.24,2026-07-24,Razorpay payout PAY-5070
UTR900065,24477.09,2026-07-28,Razorpay payout PAY-5071
UTR900066,10638.08,2026-07-30,Razorpay payout PAY-5072
UTR900067,18388.22,2026-08-03,Razorpay payout PAY-5073
UTR900068,4584.52,2026-08-05,Razorpay payout PAY-5074
UTR900069,12324,2026-08-09,Razorpay payout PAY-5075
UTR900070,20151.23,2026-07-02,Razorpay payout PAY-5076
UTR900071,6317.61,2026-07-06,Razorpay payout PAY-5077
UTR900072,14071.17,2026-07-08,Razorpay payout PAY-5078
UTR900073,21809.88,2026-07-12,Razorpay payout PAY-5079
UTR900074,8015.77,2026-07-14,Razorpay payout PAY-5080
UTR900075,15825.37,2026-07-18,Razorpay payout PAY-5081
UTR900076,23578.16,2026-07-20,Razorpay payout PAY-5082
UTR900077,9754.13,2026-07-24,Razorpay payout PAY-5083
UTR900078,17497.24,2026-07-26,Razorpay payout PAY-5084
UTR900079,3708.51,2026-07-30,Razorpay payout PAY-5085
UTR900080,11499.51,2026-08-01,Razorpay payout PAY-5086
UTR900081,19256.71,2026-08-05,Razorpay payout PAY-5087
UTR900082,5437.08,2026-08-07,Razorpay payout PAY-5088
UTR900083,13184.59,2026-08-11,Razorpay payout PAY-5089
UTR900084,20916.27,2026-07-04,Razorpay payout PAY-5090
UTR900085,7173.66,2026-07-08,Razorpay payout PAY-5091
UTR900086,14935.25,2026-07-10,Razorpay payout PAY-5092
UTR900087,22681.01,2026-07-14,Razorpay payout PAY-5093
UTR900088,8871.95,2026-07-16,Razorpay payout PAY-5094
UTR900089,16608.03,2026-07-20,Razorpay payout PAY-5095
UTR900090,24451.8,2026-07-22,Razorpay payout PAY-5096
UTR900091,10613.8,2026-07-26,Razorpay payout PAY-5097
UTR900092,18363.97,2026-07-28,Razorpay payout PAY-5098
UTR900093,4559.31,2026-08-01,Razorpay payout PAY-5099
UTR900094,12299.8,2026-08-03,Razorpay payout PAY-5100
UTR900095,20126.92,2026-08-07,Razorpay payout PAY-5101
UTR900096,6292.35,2026-08-09,Razorpay payout PAY-5102
UTR900097,14046.92,2026-07-04,Razorpay payout PAY-5103
UTR900098,21785.65,2026-07-06,Razorpay payout PAY-5104
UTR900099,7991.56,2026-07-10,Razorpay payout PAY-5105
UTR900100,15801.07,2026-07-12,Razorpay payout PAY-5106
UTR900101,23552.9,2026-07-16,Razorpay payout PAY-5107
UTR900102,9729.87,2026-07-18,Razorpay payout PAY-5108
UTR900103,17473.01,2026-07-22,Razorpay payout PAY-5109
UTR900104,3683.32,2026-07-24,Razorpay payout PAY-5110
UTR900105,11475.21,2026-07-28,Razorpay payout PAY-5111
UTR900106,19232.43,2026-07-30,Razorpay payout PAY-5112
UTR900107,5412.82,2026-08-03,Razorpay payout PAY-5113
UTR900108,13160.36,2026-08-05,Razorpay payout PAY-5114
UTR900109,20891.09,2026-08-09,Razorpay payout PAY-5115
UTR900110,7149.35,2026-07-02,Razorpay payout PAY-5116
UTR900111,14910.97,2026-07-06,Razorpay payout PAY-5117
UTR900112,22655.78,2026-07-08,Razorpay payout PAY-5118
UTR900113,8847.72,2026-07-12,Razorpay payout PAY-5119
UTR900114,16583.83,2026-07-14,Razorpay payout PAY-5120
UTR900115,24427.5,2026-07-18,Razorpay payout PAY-5121
UTR900116,10589.52,2026-07-20,Razorpay payout PAY-5122
UTR900117,18339.71,2026-07-24,Razorpay payout PAY-5123
UTR900118,4535.08,2026-07-26,Razorpay payout PAY-5124
UTR900119,12275.59,2026-07-30,Razorpay payout PAY-5125
UTR900120,20101.64,2026-08-01,Razorpay payout PAY-5126
UTR900121,6268.07,2026-08-05,Razorpay payout PAY-5127
UTR900122,14022.66,2026-08-07,Razorpay payout PAY-5128
UTR900123,21760.44,2026-08-11,Razorpay payout PAY-5129
UTR900124,7967.36,2026-07-04,Razorpay payout PAY-5130
UTR900125,15776.76,2026-07-08,Razorpay payout PAY-5131
UTR900126,23528.62,2026-07-10,Razorpay payout PAY-5132
UTR900127,9705.62,2026-07-14,Razorpay payout PAY-5133
UTR900128,17447.8,2026-07-16,Razorpay payout PAY-5134
UTR900129,3659.12,2026-07-20,Razorpay payout PAY-5135
UTR900130,11450.91,2026-07-22,Razorpay payout PAY-5136
UTR900131,19207.17,2026-07-26,Razorpay payout PAY-5137
UTR900132,5388.57,2026-07-28,Razorpay payout PAY-5138
UTR900133,13136.13,2026-08-01,Razorpay payout PAY-5139
UTR900134,20866.88,2026-08-03,Razorpay payout PAY-5140
UTR900135,7125.05,2026-08-07,Razorpay payout PAY-5141
UTR900136,14885.71,2026-08-09,Razorpay payout PAY-5142
UTR900137,22631.52,2026-07-04,Razorpay payout PAY-5143
