order_id,scenario
ORD-1001,typo_ref
ORD-1002,exact
ORD-1003,exact
ORD-1004,date_delay
ORD-1005,exact
ORD-1006,exact
ORD-1007,date_delay
ORD-1008,typo_ref
ORD-1009,rounding
ORD-1010,exact
ORD-1011,no_bank
ORD-1012,exact
ORD-1013,rounding
ORD-1014,duplicate
ORD-1015,exact
ORD-1016,exact
ORD-1017,exact
ORD-1018,date_delay
ORD-1019,exact
ORD-1020,no_settlement
ORD-1021,exact
ORD-1022,no_settlement
ORD-1023,exact
ORD-1024,date_delay
ORD-1025,exact
ORD-1026,exact
ORD-1027,exact
ORD-1028,exact
ORD-1029,no_bank
ORD-1030,exact
ORD-1031,exact
ORD-1032,exact
ORD-1033,exact
ORD-1034,exact
ORD-1035,duplicate
ORD-1036,typo_ref
ORD-1037,no_settlement
ORD-1038,exact
ORD-1039,exact
ORD-1040,exact
ORD-1041,exact
ORD-1042,no_settlement
ORD-1043,date_delay
ORD-1044,duplicate
ORD-1045,exact
ORD-1046,exact
ORD-1047,exact
ORD-1048,exact
ORD-1049,typo_ref
ORD-1050,typo_ref
ORD-1051,date_delay
ORD-1052,date_delay
ORD-1053,exact
ORD-1054,date_delay
ORD-1055,exact
ORD-1056,exact
ORD-1057,typo_ref
ORD-1058,exact
ORD-1059,no_settlement
ORD-1060,exact
ORD-1061,date_delay
ORD-1062,exact
ORD-1063,exact
ORD-1064,exact
ORD-1065,exact
ORD-1066,exact
ORD-1067,exact
ORD-1068,exact
ORD-1069,exact
ORD-1070,rounding
ORD-1071,typo_ref
ORD-1072,exact
ORD-1073,exact
ORD-1074,amount_mismatch
ORD-1075,exact
ORD-1076,exact
ORD-1077,exact
ORD-1078,exact
ORD-1079,amount_mismatch
ORD-1080,exact
ORD-1081,exact
ORD-1082,exact
ORD-1083,no_bank
ORD-1084,exact
ORD-1085,duplicate
ORD-1086,exact
ORD-1087,exact
ORD-1088,no_bank
ORD-1089,date_delay
ORD-1090,exact
ORD-1091,amount_mismatch
ORD-1092,exact
ORD-1093,exact
ORD-1094,typo_ref
ORD-1095,exact
ORD-1096,exact
ORD-1097,exact
ORD-1098,duplicate
ORD-1099,exact
ORD-1100,exact
ORD-1101,exact
ORD-1102,exact
ORD-1103,duplicate
ORD-1104,exact
ORD-1105,exact
ORD-1106,typo_ref
ORD-1107,exact
ORD-1108,typo_ref
ORD-1109,typo_ref
ORD-1110,typo_ref
ORD-1111,exact
ORD-1112,typo_ref
ORD-1113,rounding
ORD-1114,exact
ORD-1115,exact
ORD-1116,exact
ORD-1117,exact
ORD-1118,exact
ORD-1119,duplicate
ORD-1120,exact
ORD-1121,date_delay
ORD-1122,exact
ORD-1123,rounding
ORD-1124,exact
ORD-1125,exact
ORD-1126,exact
ORD-1127,exact
ORD-1128,amount_mismatch
ORD-1129,exact
ORD-1130,exact
ORD-1131,date_delay
ORD-1132,typo_ref
ORD-1133,exact
ORD-1134,exact
ORD-1135,exact
ORD-1136,exact
ORD-1137,exact
ORD-1138,exact
ORD-1139,exact
ORD-1140,exact
ORD-1141,exact
ORD-1142,date_delay
ORD-1143,rounding
ORD-1144,exact
ORD-1145,exact
ORD-1146,exact
ORD-1147,exact
ORD-1148,exact
ORD-1149,exact
ORD-1150,exact
ORD-1151,typo_ref
ORD-1152,exact
ORD-1153,exact
ORD-1154,exact
ORD-1155,exact
ORD-1156,typo_ref
ORD-1157,no_settlement
ORD-1158,exact
ORD-1159,rounding
ORD-1160,no_settlement
ORD-1161,exact
ORD-1162,no_bank
ORD-1163,exact
ORD-1164,exact
ORD-1165,duplicate
ORD-1166,date_delay
ORD-1167,exact
ORD-1168,exact
ORD-1169,exact
ORD-1170,exact
ORD-1171,exact
ORD-1172,date_delay
ORD-1173,exact
ORD-1174,exact
ORD-1175,exact
ORD-1176,exact
ORD-1177,exact
ORD-1178,exact
ORD-1179,rounding
ORD-1180,exact
ORD-1181,exact
ORD-1182,exact
ORD-1183,exact
ORD-1184,exact
ORD-1185,typo_ref
ORD-1186,no_bank
ORD-1187,exact
ORD-1188,exact
ORD-1189,typo_ref
ORD-1190,exact
ORD-1191,typo_ref
ORD-1192,exact
ORD-1193,typo_ref
ORD-1194,exact
ORD-1195,exact
ORD-1196,rounding
ORD-1197,rounding
ORD-1198,exact
ORD-1199,exact
ORD-1200,exact
