payment_id,order_ref,gross_amount,fee,settled_amount,settlement_date
PAY-5001,ORD-1002,10919.37,207.47,10711.9,2026-07-06
PAY-5002,ORD-1004,4757.11,99.9,4657.21,2026-07-12
PAY-5003,ORD-1005,12826.48,282.18,12544.3,2026-07-14
PAY-5004,ORD-1007,6514.22,123.77,6390.45,2026-07-20
PAY-5005,ORD-1008,14433.59,288.67,14144.92,2026-07-24
PAY-5006,ORD-1008,14433.59,288.67,14144.92,2026-07-24
PAY-5007,ORD-1009,22527.96,473.09,22054.87,2026-07-26
PAY-5008,ORD-1010,8271.33,181.97,8089.36,2026-07-30
PAY-5009,ORD-1011,16190.7,291.43,15899.27,2026-08-01
PAY-5010,ORD-1012,24109.07,458.07,23651,2026-08-05
PAY-5011,ORD-1013,10153.44,203.07,9950.37,2026-08-07
PAY-5012,ORD-1014,18097.81,380.05,17717.76,2026-08-11
PAY-5013,ORD-1015,3866.18,85.06,3781.12,2026-07-04
PAY-5014,ORD-1015,3866.18,85.06,3781.12,2026-07-04
PAY-5015,ORD-1020,21461.03,472.14,20988.89,2026-07-20
PAY-5016,ORD-1021,7380.4,132.85,7247.55,2026-07-22
PAY-5017,ORD-1022,15299.77,290.7,15009.07,2026-07-26
PAY-5018,ORD-1023,23218.14,464.36,22753.78,2026-07-28
PAY-5019,ORD-1024,9137.51,191.89,8945.62,2026-08-01
PAY-5020,ORD-1025,17056.88,375.25,16681.63,2026-08-03
PAY-5021,ORD-1026,24975.25,449.55,24525.7,2026-08-07
PAY-5022,ORD-1027,10894.62,207,10687.62,2026-08-09
PAY-5023,ORD-1028,18813.99,376.28,18437.71,2026-07-04
PAY-5024,ORD-1029,4732.36,99.38,4632.98,2026-07-06
PAY-5025,ORD-1030,12651.73,278.34,12373.39,2026-07-10
PAY-5026,ORD-1031,20570.1,370.26,20199.84,2026-07-12
PAY-5027,ORD-1032,6489.47,123.3,6366.17,2026-07-16
PAY-5028,ORD-1033,14408.84,288.18,14120.66,2026-07-18
PAY-5029,ORD-1034,22327.21,468.87,21858.34,2026-07-22
PAY-5030,ORD-1035,8246.58,181.42,8065.16,2026-07-24
PAY-5031,ORD-1036,16165.95,290.99,15874.96,2026-07-28
PAY-5032,ORD-1037,24084.32,457.6,23626.72,2026-07-30
PAY-5033,ORD-1038,10003.69,200.07,9803.62,2026-08-03
PAY-5034,ORD-1039,17922.06,376.36,17545.7,2026-08-05
